Crop,Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Irrigation,Pesticides_Used_kg,Planting_Density,Previous_Crop,Yield_ton_per_ha
Rice,Region_A,Sandy,6.79,1138.1,21.8,37.6,103.6,Flood,0.5,13.6,Rice,88.88
Rice,Region_C,Sandy,5.73,451.1,34.8,53.5,136.5,Sprinkler,47.7,13.0,Barley,87.03
Rice,Region_B,Sandy,6.25,1047.9,29.4,32.1,147.1,None,38.6,14.0,Wheat,110.37
Maize,Region_B,Sandy,5.78,910.5,25.3,75.7,145.8,Drip,34.8,5.7,None,103.43
Wheat,Region_D,Loam,7.26,1476.3,26.6,39.8,200.2,Drip,1.5,16.9,None,138.89
Rice,Region_A,Loam,7.0,1286.0,27.4,65.7,148.4,Sprinkler,38.0,24.0,Wheat,124.46
Rice,Region_D,Loam,7.02,737.1,15.5,72.0,218.5,None,33.5,20.7,Wheat,131.21
Wheat,Region_A,Loam,6.8,1001.3,16.6,52.0,171.1,Drip,28.4,22.2,Maize,117.04
Rice,Region_A,Sandy,6.51,352.5,28.0,68.0,89.4,Sprinkler,31.2,9.6,Rice,59.91
Barley,Region_C,Loam,5.8,702.3,22.3,75.9,287.1,None,45.9,17.1,Barley,171.7
Wheat,Region_B,Loam,6.16,1154.1,16.1,41.0,109.9,Sprinkler,0.3,22.9,Wheat,90.33
Wheat,Region_B,Clay,5.77,1009.5,21.0,66.1,190.6,None,7.8,6.4,Barley,135.11
Wheat,Region_B,Loam,6.95,829.8,17.6,74.0,65.2,Drip,44.7,22.5,Rice,70.39
Barley,Region_A,Loam,5.82,429.5,33.3,51.4,279.7,Drip,0.4,6.3,Barley,167.57
Wheat,Region_B,Sandy,6.9,1244.1,19.1,39.7,282.0,None,45.2,24.7,None,183.41
Barley,Region_C,Loam,6.88,555.1,17.9,47.2,141.1,Sprinkler,1.5,6.7,Maize,87.9
Wheat,Region_A,Loam,6.42,1266.6,27.5,86.0,80.2,Flood,39.0,12.4,Rice,80.58
Maize,Region_A,Sandy,5.77,995.1,25.4,51.4,242.5,Flood,44.5,6.1,Rice,154.33
Rice,Region_A,Loam,6.13,684.6,26.5,36.5,115.6,Sprinkler,30.6,6.1,Maize,79.38
Maize,Region_A,Sandy,6.14,252.8,23.7,35.0,225.2,Drip,32.1,22.3,Rice,127.0
Rice,Region_C,Loam,6.9,502.1,24.3,40.8,278.8,None,2.5,6.3,Maize,158.19
Barley,Region_B,Clay,5.73,1355.8,30.6,37.7,197.6,Sprinkler,10.5,20.9,Wheat,145.51
Maize,Region_C,Clay,7.16,1263.4,19.4,59.7,265.3,None,45.0,23.1,Wheat,172.89
Wheat,Region_B,Loam,7.02,947.3,22.9,50.9,106.2,None,41.2,23.7,Barley,88.35
Rice,Region_C,Clay,5.87,806.2,34.2,80.5,277.6,Flood,3.0,22.3,None,171.11
Rice,Region_D,Sandy,6.94,1041.3,18.8,82.9,106.7,Drip,40.6,24.1,None,86.58
Maize,Region_D,Loam,6.84,806.1,20.9,58.4,106.5,Drip,21.2,6.0,Rice,80.87
Barley,Region_D,Sandy,7.0,1037.6,18.8,83.3,270.0,Flood,28.0,24.9,Rice,169.14
Maize,Region_D,Clay,5.88,599.6,15.4,57.0,188.7,Sprinkler,5.4,5.4,Barley,118.77
Barley,Region_A,Sandy,5.82,1290.0,20.4,68.5,249.9,None,19.9,8.3,None,163.84
Barley,Region_A,Clay,5.97,1112.5,15.9,39.8,250.6,Flood,21.7,6.6,Wheat,159.53
Rice,Region_C,Clay,6.23,629.0,18.1,33.2,211.7,Flood,33.5,19.9,Wheat,118.84
Maize,Region_C,Clay,7.09,1279.9,22.3,39.6,97.3,Drip,32.9,6.7,Maize,86.13
Maize,Region_D,Sandy,6.98,833.5,15.4,45.1,223.0,Sprinkler,27.4,10.9,Wheat,138.4
Barley,Region_B,Clay,7.35,427.0,30.1,75.1,65.9,Flood,1.6,17.8,None,49.6
Maize,Region_D,Loam,5.62,301.0,30.9,40.4,100.2,None,8.1,15.0,Maize,55.5
Wheat,Region_C,Clay,5.52,1109.5,23.2,37.8,210.7,Flood,8.0,7.7,Rice,145.9
Wheat,Region_D,Loam,6.9,1324.7,34.7,85.7,277.0,None,44.4,15.4,Barley,180.78
Maize,Region_C,Loam,6.06,1249.7,28.6,71.3,242.9,Sprinkler,45.1,11.8,None,156.56
Maize,Region_D,Loam,6.17,1052.3,29.9,58.4,133.1,Flood,40.3,16.7,Wheat,105.92
Barley,Region_B,Loam,6.59,383.8,18.8,35.7,255.9,None,8.7,15.8,Maize,147.39
Wheat,Region_D,Sandy,5.7,322.3,31.7,81.1,291.6,Drip,42.0,24.8,Wheat,149.62
Wheat,Region_B,Loam,6.79,648.5,33.9,36.5,133.0,Drip,9.4,22.3,Rice,96.15
Rice,Region_B,Clay,6.15,1311.4,19.7,66.7,96.7,Flood,27.7,5.1,Wheat,90.55
Barley,Region_C,Loam,6.77,1450.3,28.7,70.1,99.4,Drip,36.7,8.5,Wheat,97.67
Rice,Region_B,Clay,7.17,513.8,29.9,54.0,150.1,Flood,2.6,23.3,Barley,90.84
Wheat,Region_A,Sandy,5.84,1190.7,21.1,84.7,63.1,None,29.9,15.8,Wheat,70.72
Barley,Region_A,Loam,7.36,946.0,24.5,33.0,171.9,None,12.6,20.2,Barley,118.77
Maize,Region_A,Clay,6.56,241.3,17.0,79.1,233.1,Sprinkler,24.9,15.1,Maize,138.46
Barley,Region_C,Sandy,7.35,905.8,18.5,63.2,182.6,Drip,19.2,20.7,Rice,124.78
Maize,Region_A,Sandy,5.92,1247.7,16.2,66.7,292.5,Sprinkler,34.3,7.7,Barley,186.91
Maize,Region_C,Clay,6.71,559.0,26.2,89.2,165.4,Flood,24.5,19.8,Wheat,110.62
Barley,Region_C,Loam,6.31,1366.6,27.5,65.0,53.3,None,15.1,22.4,Maize,77.57
Maize,Region_A,Sandy,7.05,507.1,33.3,77.8,167.5,Flood,45.5,10.3,Barley,98.35
Rice,Region_B,Clay,6.71,299.4,25.8,39.2,282.5,Sprinkler,48.0,12.4,Barley,158.7
Wheat,Region_D,Loam,6.49,407.9,20.2,78.6,74.0,Drip,40.1,16.8,Maize,53.77
Maize,Region_C,Sandy,7.33,1288.1,16.2,75.7,105.7,Flood,29.0,22.4,Rice,91.23
Rice,Region_A,Clay,6.25,742.5,32.7,88.1,228.9,Sprinkler,44.2,23.2,Maize,138.09
Maize,Region_C,Sandy,5.94,1236.0,24.6,86.1,123.5,Drip,30.1,15.7,Rice,103.02
Wheat,Region_B,Sandy,6.72,890.6,29.7,42.8,241.3,Flood,7.4,18.2,Rice,153.26
Rice,Region_B,Clay,6.75,824.7,15.3,57.9,154.8,Sprinkler,0.9,22.5,Wheat,110.94
Wheat,Region_A,Sandy,6.38,1249.0,24.8,84.7,249.0,Sprinkler,36.3,9.6,Barley,155.67
Wheat,Region_C,Clay,6.47,750.5,21.5,68.4,187.9,Drip,37.6,21.5,Maize,114.47
Rice,Region_D,Loam,7.42,1242.6,15.6,57.8,70.6,Flood,46.3,10.2,Rice,76.68
Rice,Region_D,Clay,6.97,330.9,30.5,36.5,146.5,Flood,41.2,16.6,Maize,88.58
Rice,Region_C,Loam,5.72,1027.2,25.3,51.1,133.3,Sprinkler,32.0,23.7,Barley,103.08
Barley,Region_C,Sandy,5.92,1113.4,21.7,69.9,252.5,Flood,9.5,15.2,Maize,161.7
Rice,Region_C,Clay,7.45,1368.8,31.1,76.6,206.2,Drip,29.7,6.9,None,151.63
Rice,Region_A,Clay,6.95,491.6,23.9,56.8,244.4,Sprinkler,21.7,22.9,Maize,133.78
Rice,Region_B,Clay,7.33,985.5,15.1,33.4,143.0,Sprinkler,11.6,16.7,Rice,114.57
Rice,Region_D,Clay,6.11,763.2,33.9,68.0,222.9,Flood,40.0,6.4,Wheat,143.21
Maize,Region_A,Loam,6.98,697.6,20.1,85.3,66.3,Sprinkler,7.5,5.2,None,60.38
Barley,Region_C,Loam,6.93,338.7,31.6,59.8,59.2,Drip,31.5,10.2,Wheat,40.75
Wheat,Region_C,Sandy,6.09,374.5,31.3,85.7,121.9,None,30.5,7.4,Wheat,75.5
Rice,Region_B,Sandy,6.6,1288.1,18.2,51.2,243.4,Sprinkler,15.2,17.6,Barley,166.54
Maize,Region_C,Sandy,6.75,1174.7,24.5,83.2,183.5,Flood,21.5,16.9,Wheat,130.14
Maize,Region_A,Sandy,6.46,697.0,15.8,77.2,152.2,Flood,5.8,21.8,Wheat,101.51
Maize,Region_A,Clay,7.15,1277.0,22.1,87.7,274.2,Drip,1.3,15.3,Maize,175.93
Wheat,Region_B,Loam,7.17,305.0,29.6,77.5,174.3,Flood,0.7,10.1,None,95.53
Rice,Region_A,Loam,7.2,1012.2,19.7,49.3,203.3,Flood,8.7,6.0,None,141.51
Barley,Region_D,Loam,7.11,1328.6,17.3,84.0,296.5,None,43.3,5.2,Maize,187.09
Barley,Region_A,Loam,6.48,1290.5,25.1,70.2,180.6,Sprinkler,26.1,23.5,Rice,138.58
Maize,Region_A,Sandy,6.26,684.6,25.7,39.7,245.9,Flood,5.9,7.9,None,144.44
Wheat,Region_A,Clay,7.16,1168.8,28.5,32.8,153.5,Flood,45.3,15.0,None,116.72
Wheat,Region_D,Loam,6.48,755.7,30.2,52.0,59.1,None,28.4,20.9,None,56.33
Wheat,Region_C,Clay,5.99,1292.2,28.9,77.2,258.6,Sprinkler,1.4,23.6,Barley,172.8
Barley,Region_A,Clay,6.51,890.0,31.9,67.1,286.1,Drip,38.1,9.0,None,179.92
Maize,Region_B,Clay,5.78,1194.3,19.5,61.6,158.6,None,23.7,9.6,Rice,127.19
Rice,Region_D,Clay,6.88,302.1,26.4,30.2,175.9,None,26.6,8.6,None,101.33
Barley,Region_B,Loam,6.17,967.0,22.2,56.1,156.0,Flood,30.7,8.2,Rice,112.06
Maize,Region_A,Loam,6.02,915.4,34.2,39.5,299.2,Flood,4.7,14.1,None,182.55
Maize,Region_B,Loam,7.41,993.0,23.8,57.3,275.8,Drip,47.4,17.7,Rice,172.88
Rice,Region_A,Sandy,7.05,1104.3,34.2,89.5,60.3,Drip,12.8,19.1,Maize,66.53
Rice,Region_D,Loam,7.07,1393.5,30.4,82.8,244.8,Drip,31.1,11.5,None,165.11
Rice,Region_B,Sandy,6.75,1221.4,29.4,48.6,200.2,None,42.8,17.5,Rice,144.25
Wheat,Region_B,Sandy,7.18,485.5,24.8,65.6,56.3,None,16.6,5.0,Barley,48.79
Rice,Region_A,Sandy,7.02,1273.7,23.9,60.1,161.2,None,31.4,22.8,Barley,129.27
Maize,Region_A,Loam,6.7,358.7,25.5,37.8,87.4,Drip,49.4,22.4,Maize,59.81
Rice,Region_C,Loam,7.42,1008.9,20.9,89.4,268.3,Sprinkler,42.6,15.9,Wheat,168.36
Maize,Region_A,Loam,5.88,1347.6,33.1,55.5,53.2,Drip,39.0,9.9,Barley,76.24
Barley,Region_A,Sandy,7.39,331.5,30.9,60.3,268.3,Flood,22.0,24.4,None,155.2
Wheat,Region_C,Sandy,6.3,1304.6,31.0,68.9,285.2,None,22.6,21.2,Maize,187.15
Barley,Region_A,Clay,6.56,1238.2,23.7,41.5,68.2,Flood,24.3,5.3,Rice,63.11
Barley,Region_A,Sandy,5.75,854.9,16.4,43.3,230.0,Drip,34.5,14.4,Rice,138.68
Maize,Region_C,Sandy,6.58,601.6,28.7,41.6,187.2,Flood,7.2,7.0,Rice,122.74
Barley,Region_D,Loam,6.72,727.1,22.5,53.1,288.6,None,43.1,7.6,Rice,179.14
Maize,Region_D,Clay,7.5,1459.3,32.4,42.0,249.5,Sprinkler,0.9,5.0,None,181.68
Rice,Region_A,Clay,7.45,462.2,30.6,85.6,223.6,Sprinkler,8.5,18.8,Barley,129.59
Rice,Region_A,Clay,7.43,953.5,17.9,72.9,281.4,Drip,24.1,10.1,Rice,171.24
Maize,Region_C,Loam,6.2,308.2,27.0,83.9,90.1,Sprinkler,12.6,11.1,None,63.39
Rice,Region_C,Clay,7.48,483.3,28.8,80.9,144.0,None,18.3,5.9,Maize,95.26
Wheat,Region_D,Clay,6.41,1192.3,26.4,72.2,260.7,Drip,16.6,5.2,None,158.97
Barley,Region_B,Loam,7.2,593.4,25.3,44.6,75.4,None,13.4,20.9,Maize,60.78
Wheat,Region_A,Clay,5.93,1481.5,19.6,66.9,283.9,Flood,19.0,18.2,Barley,190.05
Barley,Region_B,Sandy,6.51,851.1,19.7,41.2,236.3,Drip,25.3,12.6,Rice,141.86
Rice,Region_B,Sandy,7.43,871.5,30.4,37.9,159.8,Sprinkler,23.8,6.4,Wheat,109.14
Wheat,Region_C,Sandy,7.39,247.2,15.4,68.0,134.7,None,40.6,20.5,Maize,79.17
Rice,Region_A,Sandy,6.87,1443.5,30.6,67.5,86.9,Drip,15.4,23.5,Wheat,91.79
Barley,Region_A,Sandy,7.1,426.5,25.5,39.4,73.4,Drip,14.1,15.5,None,59.26
Maize,Region_C,Sandy,5.85,899.8,33.7,51.1,155.9,Sprinkler,25.2,7.8,None,120.49
Maize,Region_B,Sandy,6.94,714.4,34.9,34.0,260.8,None,2.4,18.1,Wheat,163.54
Wheat,Region_C,Sandy,6.74,740.3,28.3,72.9,183.0,Flood,5.6,6.4,Barley,121.6
Rice,Region_D,Sandy,5.68,1036.3,23.2,89.2,162.8,Sprinkler,40.2,8.3,Rice,116.39
Rice,Region_A,Loam,5.73,1060.7,24.5,74.4,129.8,Drip,24.7,14.4,None,105.6
Wheat,Region_D,Loam,5.72,400.6,19.1,80.6,89.2,None,3.3,10.0,Wheat,57.32
Maize,Region_C,Sandy,6.95,849.5,17.0,58.6,297.5,Drip,22.0,23.6,Wheat,174.9
Barley,Region_A,Loam,5.78,1227.6,26.6,35.7,56.4,Sprinkler,19.9,21.2,Maize,64.19
Wheat,Region_D,Loam,6.44,776.3,31.1,73.6,128.0,Flood,12.3,10.5,Wheat,85.76
Barley,Region_D,Sandy,6.21,415.5,20.2,45.4,242.3,Flood,18.6,24.3,Wheat,144.06
Maize,Region_B,Sandy,6.6,607.2,23.4,53.3,180.1,None,9.4,12.6,Maize,114.3
Rice,Region_A,Loam,6.91,476.1,26.1,72.2,128.5,Flood,22.5,16.4,Maize,86.41
Maize,Region_D,Sandy,6.87,363.6,33.2,84.3,298.2,Drip,20.4,16.3,None,166.02
Wheat,Region_D,Sandy,6.53,690.9,17.8,59.2,204.8,Flood,30.4,18.0,Barley,136.14
Rice,Region_B,Sandy,6.43,903.2,19.7,87.7,123.8,Flood,47.1,9.9,None,101.73
Wheat,Region_D,Sandy,6.3,294.6,33.4,61.2,262.0,Flood,9.3,23.4,Barley,146.43
Wheat,Region_D,Loam,7.22,985.0,15.8,37.4,87.5,Drip,20.9,10.3,Rice,76.32
Maize,Region_D,Clay,6.16,1490.9,28.1,61.1,165.9,Flood,28.1,18.3,Maize,132.2
Wheat,Region_B,Loam,6.02,1453.4,27.8,81.6,259.9,Drip,27.3,20.3,None,173.54
Maize,Region_D,Clay,6.99,1277.9,22.7,62.3,295.9,None,33.1,22.6,Maize,188.78
Rice,Region_D,Clay,6.22,546.2,24.4,74.9,145.8,Drip,13.4,14.1,Maize,92.59
Maize,Region_A,Clay,7.19,229.1,32.1,62.9,84.5,Drip,31.7,19.2,Barley,44.46
Rice,Region_A,Loam,6.16,1283.6,18.3,62.8,191.7,None,10.1,6.7,Wheat,126.63
Maize,Region_B,Loam,6.9,272.4,19.6,47.1,286.0,Flood,6.3,20.6,Wheat,154.77
Barley,Region_C,Loam,5.59,467.3,25.2,42.1,216.4,Flood,41.6,20.1,Maize,131.42
Barley,Region_A,Loam,6.27,907.8,23.2,46.7,200.5,None,23.7,13.2,None,128.27
Wheat,Region_B,Loam,6.19,431.9,26.5,56.5,127.3,Flood,19.9,11.3,None,90.66
Maize,Region_D,Clay,7.13,1283.9,33.4,78.6,201.6,Flood,46.4,12.6,Barley,144.59
Maize,Region_D,Loam,7.43,1210.3,33.3,79.7,271.2,None,35.5,6.8,Rice,174.33
Rice,Region_B,Clay,6.42,1182.5,19.6,39.8,143.9,Flood,33.9,17.8,None,104.23
Wheat,Region_D,Loam,7.15,1261.0,21.0,63.2,110.5,Sprinkler,9.7,23.3,Rice,97.77
Maize,Region_D,Loam,6.9,485.6,18.2,55.0,170.2,None,10.5,18.3,Maize,93.26
Wheat,Region_C,Sandy,7.43,1147.6,33.6,64.3,144.0,Flood,24.2,16.6,Barley,109.4
Barley,Region_D,Clay,7.12,661.9,23.0,68.9,167.5,Flood,32.6,24.8,Barley,108.43
Maize,Region_A,Loam,5.65,1066.9,24.0,46.8,73.9,Flood,19.8,15.8,Maize,66.77
Maize,Region_D,Loam,6.93,358.6,31.1,85.2,134.1,Sprinkler,3.2,11.9,Maize,81.41
Wheat,Region_B,Loam,6.57,1117.3,25.3,86.1,256.6,Flood,34.2,19.1,Rice,167.0
Maize,Region_C,Sandy,5.53,1463.7,17.4,36.3,150.1,None,38.7,15.4,None,116.35
Wheat,Region_D,Clay,6.0,256.7,23.8,72.2,292.0,Sprinkler,47.2,24.4,None,161.72
Maize,Region_B,Loam,7.34,322.0,27.6,32.0,227.2,Drip,20.4,23.0,Wheat,133.49
Rice,Region_A,Loam,7.35,360.7,29.4,32.8,141.5,Drip,12.9,23.9,Rice,82.4
Wheat,Region_D,Loam,7.1,759.7,27.9,87.5,112.9,None,46.3,5.0,Barley,83.82
Maize,Region_C,Sandy,7.46,578.0,17.4,71.7,221.3,None,35.8,11.7,Rice,130.85
Barley,Region_D,Loam,7.11,1249.0,21.1,49.5,125.6,Flood,3.2,17.5,Rice,106.22
Maize,Region_B,Clay,5.52,815.9,29.7,70.2,281.7,Flood,29.0,11.2,Maize,169.78
Barley,Region_C,Clay,6.08,829.9,32.6,80.8,79.1,Sprinkler,1.4,18.1,Maize,67.36
Barley,Region_D,Clay,5.56,1132.1,15.9,82.3,57.2,Sprinkler,11.3,19.3,Maize,60.46
Rice,Region_A,Clay,5.69,670.6,15.8,31.2,105.3,Sprinkler,3.5,17.5,Maize,80.11
Wheat,Region_C,Loam,5.94,659.2,27.9,79.1,201.7,Sprinkler,10.2,14.2,Maize,123.31
Maize,Region_A,Sandy,6.51,1184.0,26.0,81.2,258.7,Drip,24.5,18.9,Rice,166.19
Rice,Region_B,Sandy,7.2,1214.1,18.1,65.7,92.5,Drip,14.9,20.6,Maize,91.53
Maize,Region_D,Sandy,7.22,218.7,26.0,58.8,196.2,None,4.4,18.9,None,110.58
Barley,Region_A,Loam,6.73,386.9,34.5,36.7,86.0,None,24.1,21.2,None,56.4
Wheat,Region_B,Sandy,7.36,477.0,27.6,44.4,190.8,Flood,35.4,23.9,Wheat,114.25
Maize,Region_D,Clay,6.5,657.1,24.0,59.4,54.5,Flood,2.7,7.1,None,46.91
Maize,Region_B,Loam,7.28,578.9,31.6,81.9,189.5,Flood,44.1,23.1,Wheat,112.53
Barley,Region_A,Sandy,6.41,1069.1,19.3,78.2,180.4,Drip,32.7,10.5,None,123.41
Maize,Region_B,Clay,6.05,1276.6,23.3,59.8,60.7,Sprinkler,26.0,16.3,Barley,72.28
Maize,Region_C,Clay,7.33,449.7,25.6,77.1,222.4,Drip,19.8,23.8,Wheat,126.72
Barley,Region_D,Loam,6.28,931.9,25.1,75.9,193.1,None,19.7,17.4,Rice,132.24
Rice,Region_B,Loam,6.51,678.2,33.4,64.7,205.8,Drip,16.8,6.7,Maize,133.18
Barley,Region_A,Sandy,6.16,857.5,20.9,43.2,182.4,Flood,5.8,15.0,Wheat,117.57
Rice,Region_D,Sandy,6.83,1007.0,16.1,50.9,230.5,None,4.0,22.9,None,147.8
Wheat,Region_C,Sandy,7.49,1361.7,33.3,39.8,181.3,Drip,15.4,13.2,Rice,135.81
Rice,Region_D,Loam,5.55,450.0,19.3,30.4,280.6,Sprinkler,33.4,22.0,None,152.71
Rice,Region_C,Sandy,7.3,313.1,22.6,34.8,285.9,Flood,14.4,20.9,Rice,157.65
Wheat,Region_D,Sandy,5.51,1015.4,25.6,75.6,231.7,None,40.6,23.1,None,142.03
Rice,Region_B,Clay,6.23,712.4,34.5,32.0,277.9,Drip,19.0,10.3,Maize,162.43
Barley,Region_B,Clay,5.84,411.8,25.7,54.0,280.8,None,31.6,14.9,Barley,152.08
Rice,Region_A,Clay,7.01,352.2,24.0,89.1,115.5,None,21.6,11.7,None,68.6
Wheat,Region_C,Sandy,5.6,926.6,26.7,77.7,298.5,Drip,24.9,15.7,None,176.96
Barley,Region_A,Loam,6.61,590.6,34.4,75.0,116.9,Flood,12.5,5.4,Wheat,74.97
Wheat,Region_B,Clay,6.09,1496.7,31.4,46.5,54.6,Drip,25.7,9.8,Maize,77.02
Wheat,Region_C,Loam,5.77,727.7,18.4,68.5,290.6,Sprinkler,5.5,24.5,Rice,168.96
Maize,Region_A,Sandy,7.04,476.0,31.1,59.9,105.9,Sprinkler,19.3,17.1,Wheat,73.4
Maize,Region_A,Sandy,5.93,1017.5,31.8,67.4,196.0,Flood,22.4,8.5,Maize,136.06
Wheat,Region_A,Clay,5.95,517.5,28.8,56.1,292.7,None,35.2,15.2,Maize,169.66
Wheat,Region_A,Loam,6.05,842.3,28.1,61.9,62.4,Flood,20.0,19.0,Wheat,58.07
Wheat,Region_A,Clay,6.67,827.3,23.8,89.3,117.3,Flood,33.3,17.1,Rice,88.54
Maize,Region_C,Sandy,6.82,789.6,27.8,49.8,202.2,None,8.7,15.0,Barley,129.04
Maize,Region_A,Loam,5.54,1234.9,29.8,43.0,240.6,Drip,1.3,18.5,Wheat,162.77
Rice,Region_C,Clay,5.98,481.6,17.5,56.9,251.8,None,25.3,8.3,None,141.56
Rice,Region_A,Sandy,6.36,1375.6,20.1,61.5,271.0,Flood,23.7,13.8,Barley,176.78
Wheat,Region_B,Clay,6.16,1228.7,18.9,35.1,92.1,Sprinkler,33.5,20.0,Rice,85.46
Barley,Region_B,Loam,7.27,633.1,31.8,78.4,142.5,Drip,15.7,16.6,Rice,94.22
Barley,Region_A,Loam,7.08,434.8,28.6,55.3,228.6,Drip,1.5,23.1,Wheat,134.56
Maize,Region_D,Loam,6.75,563.4,24.0,54.8,228.8,None,36.2,13.9,Wheat,140.83
Maize,Region_B,Loam,6.18,632.4,31.5,69.5,127.0,None,47.1,7.6,Barley,84.07
Maize,Region_C,Loam,6.9,924.0,29.3,76.4,126.1,Flood,19.7,6.0,Barley,93.94
Wheat,Region_A,Clay,7.19,260.3,33.3,89.2,130.2,Drip,30.6,14.5,None,91.16
Barley,Region_C,Clay,6.69,1388.7,16.5,40.4,273.0,Drip,27.2,13.8,None,172.36
Rice,Region_D,Clay,7.07,328.3,25.2,50.7,277.4,None,28.3,10.1,None,145.54
Wheat,Region_A,Clay,7.0,563.1,29.1,40.1,53.7,None,43.4,16.8,Barley,54.83
Rice,Region_B,Sandy,6.64,342.1,19.1,82.9,131.3,Sprinkler,36.8,10.0,Maize,89.3
Rice,Region_C,Sandy,6.12,533.7,21.5,62.9,148.0,Flood,38.5,9.3,Barley,101.57
Wheat,Region_B,Clay,6.99,1289.0,23.4,81.1,295.6,Sprinkler,4.5,17.4,None,192.72
Rice,Region_B,Sandy,5.91,999.7,30.9,89.1,286.0,Flood,7.3,23.9,Maize,177.02
Barley,Region_A,Sandy,7.06,495.5,24.9,63.0,207.1,Sprinkler,33.2,9.1,None,122.02
Rice,Region_C,Loam,7.11,1333.3,24.9,37.1,61.5,Drip,27.0,8.7,Maize,77.73
Barley,Region_D,Clay,7.14,1240.9,23.6,51.7,97.8,None,38.7,15.4,Rice,95.52
Barley,Region_B,Sandy,6.45,1179.7,19.6,32.2,158.6,Flood,4.7,7.4,Barley,121.29
Barley,Region_A,Sandy,5.88,1301.9,33.5,81.0,289.8,Drip,28.3,10.9,Rice,180.58
Maize,Region_A,Clay,5.7,1005.5,21.4,31.1,73.7,Flood,24.3,24.8,Wheat,65.41
Rice,Region_D,Loam,6.99,851.9,26.3,65.5,247.8,Drip,42.7,21.8,Rice,156.11
Wheat,Region_A,Clay,7.27,686.1,18.0,36.4,97.8,Flood,9.4,19.1,Rice,66.16
Wheat,Region_B,Loam,6.8,490.9,23.7,30.5,177.0,None,17.4,5.5,Wheat,98.45
Rice,Region_A,Sandy,5.79,924.6,33.1,45.4,241.7,Drip,7.5,10.3,Barley,159.58
Maize,Region_C,Loam,7.37,1356.3,34.9,63.1,223.1,None,22.6,16.4,None,160.51
Maize,Region_C,Loam,7.48,972.2,22.2,34.5,243.9,None,44.1,19.2,Barley,163.3
Barley,Region_B,Clay,6.37,1395.5,18.1,66.9,253.4,Drip,33.5,18.4,None,177.04
Rice,Region_C,Sandy,6.69,664.0,21.3,70.3,126.4,Flood,37.2,8.7,Wheat,84.27
Rice,Region_D,Clay,7.05,1103.7,21.5,88.2,141.0,Flood,4.7,14.3,Maize,109.14
Wheat,Region_A,Clay,6.97,1043.3,27.9,84.0,253.9,Drip,22.6,9.0,Wheat,159.87
Rice,Region_B,Sandy,7.44,1071.6,24.9,64.0,59.7,Drip,41.9,23.5,Barley,58.91
Maize,Region_D,Clay,5.73,1038.6,30.4,77.6,178.6,Sprinkler,41.9,16.1,Maize,132.52
Rice,Region_A,Clay,6.66,488.2,29.0,51.8,280.1,None,49.4,12.8,Wheat,159.52
Wheat,Region_D,Loam,6.88,386.7,20.0,65.1,271.3,Drip,26.3,23.4,Barley,157.99
Barley,Region_B,Clay,7.28,1472.2,30.7,54.2,251.1,Drip,0.1,23.1,Maize,176.4
Wheat,Region_B,Sandy,7.25,258.9,31.9,50.2,55.4,Drip,45.0,15.1,Barley,43.24
Wheat,Region_D,Clay,7.46,808.1,27.0,73.7,271.9,None,47.8,18.7,Wheat,168.48
Barley,Region_A,Loam,6.52,752.6,33.6,47.8,277.9,None,46.4,11.4,Rice,167.33
Wheat,Region_C,Clay,7.16,668.0,30.7,52.8,215.9,None,38.6,11.2,Rice,132.94
Wheat,Region_C,Clay,6.35,1216.6,26.9,52.0,124.7,None,10.6,16.0,Wheat,105.44
Rice,Region_D,Clay,6.34,1169.0,33.1,82.2,172.5,Sprinkler,7.0,21.9,None,134.17
Rice,Region_B,Loam,6.01,1376.8,27.0,40.2,240.7,Sprinkler,35.0,16.9,Barley,169.58
Barley,Region_A,Sandy,7.14,714.1,25.4,52.9,253.3,Drip,7.0,14.2,Wheat,153.24
Rice,Region_A,Sandy,7.47,933.4,22.1,83.3,135.8,None,47.7,18.3,Rice,98.27
Rice,Region_B,Loam,6.01,1360.0,32.7,30.9,131.5,Drip,22.3,21.2,Barley,112.5
Wheat,Region_C,Loam,5.61,1492.0,17.5,86.9,234.0,None,1.5,20.7,None,160.94
Maize,Region_A,Clay,7.13,1460.1,24.5,83.9,221.6,Drip,7.5,12.4,Rice,154.59
Rice,Region_D,Sandy,6.74,1133.2,25.7,55.1,178.3,Flood,14.5,23.7,Maize,127.1
Maize,Region_C,Loam,7.42,386.2,26.1,69.2,155.1,None,35.2,5.3,None,94.39
Rice,Region_D,Sandy,6.0,230.1,28.0,89.5,214.3,Drip,36.9,14.0,Barley,123.29
Rice,Region_C,Clay,5.64,1272.8,25.1,63.3,58.1,Drip,10.7,23.2,Rice,66.61
Barley,Region_B,Loam,6.48,1293.2,20.1,35.8,68.9,None,32.4,18.9,Barley,77.32
Barley,Region_D,Sandy,5.67,1170.3,32.1,81.2,193.3,None,1.6,19.1,Rice,140.31
Barley,Region_D,Sandy,6.02,563.9,28.2,38.0,102.6,Sprinkler,5.1,8.1,Rice,68.95
Maize,Region_B,Clay,5.75,1031.8,32.2,45.4,243.7,Drip,26.8,16.6,Maize,156.94
Wheat,Region_D,Loam,5.95,611.1,20.5,82.4,243.1,Flood,35.2,24.3,Maize,147.78
